FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 5 4
ORDERS 5 9

# E <id> <alpha> <beta> <mu> <p>
ROW -4 -4 16
T 0  -315 16 1  2  5
T 1  -63 2 1  11  6
T 1  63 2 1  12  6
T 2  -15 2 1  30  7
T 2  21 1 1  31  7
T 2  -27 2 1  32  7
T 3  -70 143 1  64  8
T 3  30 13 1  65  8
T 3  -42 11 1  66  8
T 3  2 1 1  67  8
T 4  -21 2431 1  117  9
T 4  7 2431 12155  77  9
T 4  140 2431 1  118  9
T 4  -2 13 1  119  9
T 4  28 143 1  120  9
T 4  -1 11 1  121  9
ROW -4 -3 18
T 0  -315 16 2  0  5
T 1  21 8 3  3  6
T 1  63 2 2  4  6
T 2  5 4 30  13  7
T 2  -7 4 3  14  7
T 2  -27 2 2  15  7
T 3  115 572 14  34  8
T 3  -35 572 858  42  8
T 3  -5 13 30  35  8
T 3  7 22 3  36  8
T 3  2 1 2  37  8
T 4  14 2431 10  70  9
T 4  28 2431 715  82  9
T 4  -115 4862 14  72  9
T 4  35 4862 858  84  9
T 4  1 39 30  73  9
T 4  -7 429 3  74  9
T 4  -1 11 2  75  9
ROW -4 -2 13
T 1  3 2 105  5  6
T 2  -5 4 15  16  7
T 2  -1 1 105  17  7
T 3  -135 286 6  38  8
T 3  -5 286 858  46  8
T 3  5 13 15  39  8
T 3  2 11 105  40  8
T 4  -7 4862 770  76  9
T 4  7 4862 30030  88  9
T 4  135 2431 6  78  9
T 4  5 2431 858  90  9
T 4  -1 39 15  79  9
T 4  -4 429 105  80  9
ROW -4 -1 13
T 1  -27 8 35  6  6
T 2  -15 2 1  33  7
T 2  9 4 35  19  7
T 3  25 44 6  41  8
T 3  45 572 66  68  8
T 3  30 13 1  69  8
T 3  -9 22 35  44  8
T 4  14 2431 165  81  9
T 4  14 2431 1001  122  9
T 4  -25 374 6  83  9
T 4  -45 4862 66  123  9
T 4  -2 13 1  124  9
T 4  3 143 35  86  9
ROW -4 0 6
T 2  15 2 1  22  7
T 3  -20 143 165  51  8
T 3  -30 13 1  52  8
T 4  -35 2431 143  96  9
T 4  40 2431 165  98  9
T 4  2 13 1  99  9
ROW -4 1 13
T 1  -27 8 35  7  6
T 2  15 2 1  21  7
T 2  9 4 35  24  7
T 3  -45 572 66  48  8
T 3  25 44 6  54  8
T 3  -30 13 1  49  8
T 3  -9 22 35  56  8
T 4  -14 2431 1001  92  9
T 4  14 2431 165  101  9
T 4  45 4862 66  93  9
T 4  -25 374 6  103  9
T 4  2 13 1  94  9
T 4  3 143 35  105  9
ROW -4 2 13
T 1  3 2 105  8  6
T 2  -5 4 15  25  7
T 2  -1 1 105  26  7
T 3  5 286 858  50  8
T 3  -135 286 6  57  8
T 3  5 13 15  58  8
T 3  2 11 105  59  8
T 4  -7 4862 30030  95  9
T 4  -7 4862 770  107  9
T 4  -5 2431 858  97  9
T 4  135 2431 6  108  9
T 4  -1 39 15  109  9
T 4  -4 429 105  110  9
ROW -4 3 18
T 0  -315 16 2  1  5
T 1  21 8 3  9  6
T 1  63 2 2  10  6
T 2  5 4 30  27  7
T 2  -7 4 3  28  7
T 2  -27 2 2  29  7
T 3  35 572 858  53  8
T 3  115 572 14  60  8
T 3  -5 13 30  61  8
T 3  7 22 3  62  8
T 3  2 1 2  63  8
T 4  -28 2431 715  100  9
T 4  14 2431 10  112  9
T 4  -35 4862 858  102  9
T 4  -115 4862 14  113  9
T 4  1 39 30  114  9
T 4  -7 429 3  115  9
T 4  -1 11 2  116  9
ROW -4 4 1
T 4  -7 2431 12155  106  9
ROW -3 -4 18
T 0  105 32 2  0  5
T 1  21 2 3  3  6
T 1  -21 4 2  4  6
T 2  5 4 30  13  7
T 2  -7 1 3  14  7
T 2  9 4 2  15  7
T 3  70 429 14  34  8
T 3  35 858 858  42  8
T 3  -5 13 30  35  8
T 3  14 11 3  36  8
T 3  -1 3 2  37  8
T 4  21 4862 10  70  9
T 4  21 2431 715  82  9
T 4  -140 7293 14  72  9
T 4  -35 7293 858  84  9
T 4  1 39 30  73  9
T 4  -28 429 3  74  9
T 4  1 66 2  75  9
ROW -3 -3 18
T 0  -105 4 1  2  5
T 1  -63 4 1  11  6
T 1  42 1 1  12  6
T 2  15 2 1  30  7
T 2  21 2 1  31  7
T 2  -18 1 1  32  7
T 3  665 429 1  64  8
T 3  -25 1716 6006  46  8
T 3  -30 13 1  65  8
T 3  -21 11 1  66  8
T 3  8 3 1  67  8
T 4  126 2431 1  117  9
T 4  21 4862 4290  88  9
T 4  -1330 7293 1  118  9
