FORMAT 1
KERNEL T
SOURCE (s|S|s)
SHELLS 5 4

# E <id> <alpha> <beta> <mu> <p>
T 5  -150 2431 66  78
T 5  4 13 1  79
ROW -5 1 14
T 2  255 2 1  80
T 3  -285 572 4290  81
T 3  475 286 165  82
T 3  -765 13 1  83
T 4  -147 4862 6006  84
T 4  147 2431 143  85
T 4  285 2431 4290  86
T 4  -950 2431 165  87
T 4  102 13 1  88
T 5  7 2431 6006  89
T 5  -14 2431 143  90
T 5  -15 2431 4290  91
T 5  50 2431 165  92
T 5  -4 13 1  93
ROW -5 2 19
T 1  -675 8 7  94
T 2  -255 2 1  95
T 2  75 1 7  96
T 3  -95 572 30030  97
T 3  -1425 572 30  98
T 3  765 13 1  99
T 3  -225 11 7  100
T 4  -294 2431 1001  101
T 4  -147 2431 33  102
T 4  95 2431 30030  103
T 4  1425 2431 30  104
T 4  -102 13 1  105
T 4  300 143 7  106
T 5  28 2431 1001  107
T 5  14 2431 33  108
T 5  -5 2431 30030  109
T 5  -75 2431 30  110
T 5  4 13 1  111
T 5  -10 143 7  112
ROW -5 3 16
T 1  1575 8 3  113
T 2  85 4 21  114
T 2  -175 1 3  115
T 3  285 572 210  116
T 3  -255 26 21  117
T 3  525 11 3  118
T 4  -294 2431 2431  119
T 4  147 4862 22  120
T 4  -285 2431 210  121
T 4  17 13 21  122
T 4  -700 143 3  123
T 5  28 2431 2431  124
T 5  -7 2431 22  125
T 5  15 2431 210  126
T 5  -2 39 21  127
T 5  70 429 3  128
ROW -5 4 22
T 0  -4095 32 10  129
T 1  -315 4 15  130
T 1  4095 16 10  131
T 2  -85 4 6  132
T 2  70 1 15  133
T 2  -585 4 10  134
T 3  -95 286 70  135
T 3  255 26 6  136
T 3  -210 11 15  137
T 3  65 2 10  138
T 4  -441 2431 2431  139
T 4  -147 4862 2  140
T 4  190 2431 70  141
T 4  -17 13 6  142
T 4  280 143 15  143
T 4  -65 22 10  144
T 5  42 2431 2431  145
T 5  7 2431 2  146
T 5  -10 2431 70  147
T 5  2 39 6  148
T 5  -28 429 15  149
T 5  1 11 10  150
ROW -4 -4 22
T 0  -4095 16 1  151
T 1  -945 2 1  152
T 1  4095 8 1  153
T 2  -255 2 1  154
T 2  420 1 1  155
T 2  -585 2 1  156
T 3  -1330 143 1  157
T 3  765 13 1  158
T 3  -1260 11 1  159
T 3  65 1 1  160
T 4  -441 2431 1  161
T 4  147 2431 12155  29
T 4  5320 2431 1  162
T 4  -102 13 1  163
T 4  1680 143 1  164
T 4  -65 11 1  165
T 5  42 2431 1  166
T 5  -14 2431 12155  34
T 5  -280 2431 1  167
T 5  4 13 1  168
T 5  -56 143 1  169
T 5  2 11 1  170
ROW -4 -3 25
T 0  -4095 16 2  0
T 1  315 8 3  1
T 1  4095 8 2  2
T 2  85 4 30  3
T 2  -35 1 3  4
T 2  -585 2 2  5
T 3  2185 572 14  6
T 3  -665 572 858  42
T 3  -255 26 30  7
T 3  105 11 3  8
T 3  65 1 2  9
T 4  294 2431 10  10
T 4  588 2431 715  46
T 4  -2185 2431 14  12
T 4  665 2431 858  48
T 4  17 13 30  13
T 4  -140 143 3  14
T 4  -65 11 2  15
T 5  -28 2431 10  16
T 5  -56 2431 715  52
T 5  115 2431 14  18
T 5  -35 2431 858  54
T 5  -2 39 30  19
T 5  14 429 3  20
T 5  2 11 2  21
ROW -4 -2 19
T 1  45 2 105  22
T 2  -85 4 15  23
T 2  -20 1 105  24
T 3  -2565 286 6  25
T 3  -95 286 858  59
T 3  255 26 15  26
T 3  60 11 105  27
T 4  -147 4862 770  28
T 4  147 4862 30030  62
T 4  5130 2431 6  30
T 4  190 2431 858  64
T 4  -17 13 15  31
T 4  -80 143 105  32
T 5  7 2431 770  33
T 5  -7 2431 30030  67
T 5  -270 2431 6  35
T 5  -10 2431 858  69
T 5  2 39 15  36
T 5  8 429 105  37
ROW -4 -1 19
T 1  -405 8 35  38
T 2  -255 2 1  171
T 2  45 1 35  40
T 3  475 44 6  41
T 3  855 572 66  172
T 3  765 13 1  173
T 3  -135 11 35  44
T 4  294 2431 165  45
T 4  294 2431 1001  174
T 4  -475 187 6  47
T 4  -855 2431 66  175
T 4  -102 13 1  176
T 4  180 143 35  50
T 5  -28 2431 165  51
T 5  -28 2431 1001  177
T 5  25 187 6  53
T 5  45 2431 66  178
T 5  4 13 1  179
T 5  -6 143 35  56
ROW -4 0 9
T 2  255 2 1  80
T 3  -380 143 165  82
T 3  -765 13 1  83
T 4  -735 2431 143  85
T 4  1520 2431 165  87
T 4  102 13 1  88
T 5  70 2431 143  90
T 5  -80 2431 165  92
T 5  -4 13 1  93
ROW -4 1 19
T 1  -405 8 35  94
T 2  255 2 1  71
T 2  45 1 35  96
T 3  -855 572 66  72
T 3  475 44 6  98
T 3  -765 13 1  73
T 3  -135 11 35  100
T 4  -294 2431 1001  74
T 4  294 2431 165  102
T 4  855 2431 66  75
T 4  -475 187 6  104
T 4  102 13 1  76
T 4  180 143 35  106
T 5  28 2431 1001  77
T 5  -28 2431 165  108
T 5  -45 2431 66  78
T 5  25 187 6  110
T 5  -4 13 1  79
T 5  -6 143 35  112
ROW -4 2 19
T 1  45 2 105  113
T 2  -85 4 15  114
T 2  -20 1 105  115
T 3  95 286 858  81
T 3  -2565 286 6  116
T 3  255 26 15  117
T 3  60 11 105  118
T 4  -147 4862 30030  84
T 4  -147 4862 770  120
T 4  -190 2431 858  86
T 4  5130 2431 6  121
T 4  -17 13 15  122
T 4  -80 143 105  123
T 5  7 2431 30030  89
T 5  7 2431 770  125
T 5  10 2431 858  91
T 5  -270 2431 6  126
T 5  2 39 15  127
T 5  8 429 105  128
ROW -4 3 25
T 0  -4095 16 2  129
T 1  315 8 3  130
T 1  4095 8 2  131
T 2  85 4 30  132
T 2  -35 1 3  133
T 2  -585 2 2  134
T 3  665 572 858  97
T 3  2185 572 14  135
T 3  -255 26 30  136
T 3  105 11 3  137
T 3  65 1 2  138
T 4  -588 2431 715  101
T 4  294 2431 10  140
T 4  -665 2431 858  103
T 4  -2185 2431 14  141
T 4  17 13 30  142
T 4  -140 143 3  143
T 4  -65 11 2  144
T 5  56 2431 715  107
T 5  -28 2431 10  146
T 5  35 2431 858  109
T 5  115 2431 14  147
T 5  -2 39 30  148
T 5  14 429 3  149
T 5  2 11 2  150
ROW -4 4 2
T 4  -147 2431 12155  119
T 5  14 2431 12155  124
ROW -3 -4 25
T 0  1365 32 2  0
T 1  315 2 3  1
T 1  -1365 16 2  2
T 2  85 4 30  3
T 2  -140 1 3  4
T 2  195 4 2  5
T 3  1330 429 14  6
T 3  665 858 858  42
T 3  -255 26 30  7
T 3  420 11 3  8
T 3  -65 6 2  9
T 4  441 4862 10  10
T 4  441 2431 715  46
T 4  -5320 7293 14  12
T 4  -1330 7293 858  48
T 4  17 13 30  13
T 4  -560 143 3  14
T 4  65 66 2  15
T 5  -21 2431 10  16
T 5  -42 2431 715  52
T 5  280 7293 14  18
T 5  70 7293 858  54
T 5  -2 39 30  19
T 5  56 429 3  20
T 5  -1 33 2  21
ROW -3 -3 25
T 0  -1365 4 1  151
T 1  -945 4 1  152
T 1  1365 2 1  153
T 2  255 2 1  154
T 2  210 1 1  155
T 2  -390 1 1  156
T 3  12635 429 1  157
T 3  -475 1716 6006  59
T 3  -765 13 1  158
T 3  -630 11 1  159
T 3  260 3 1  160
T 4  2646 2431 1  161
T 4  441 4862 4290  62
T 4  -50540 7293 1  162
T 4  475 7293 6006  64
T 4  102 13 1  163
T 4  840 143 1  164
T 4  -260 33 1  165
T 5  -252 2431 1  166
T 5  -21 2431 4290  67
T 5  2660 7293 1  167
T 5  -25 7293 6006  69
T 5  -4 13 1  168
T 5  -28 143 1  169
T 5  8 33 1  170
ROW -3 -2 25
T 0  -1365 16 14  0
T 1  405 8 21  1
T 1  1365 8 14  2
T 2  255 2 1  171
T 2  -45 1 21  4
T 2  -195 2 14  5
T 3  -2375 132 2  6
T 3  -5035 1716 66  172
T 3  -765 13 1  173
T 3  135 11 21  8
T 3  65 3 14  9
T 4  -441 2431 70  10
T 4  441 2431 1001  174
T 4  2375 561 2  12
T 4  5035 7293 66  175
T 4  102 13 1  176
T 4  -180 143 21  14
T 4  -65 33 14  15
T 5  42 2431 70  16
T 5  -42 2431 1001  177
T 5  -125 561 2  18
T 5  -265 7293 66  178
T 5  -4 13 1  179
T 5  6 143 21  20
T 5  2 33 14  21
ROW -3 -1 19
T 1  45 8 105  22
T 2  -85 4 15  23
T 2  -5 1 105  24
T 3  15485 1716 6  25
T 3  -95 66 33  58
T 3  255 26 15  26
T 3  15 11 105  27
T 4  441 4862 770  28
T 4  441 2431 715  61
T 4  -15485 7293 6  30
T 4  190 561 33  63
T 4  -17 13 15  31
T 4  -20 143 105  32
T 5  -21 2431 770  33
T 5  -42 2431 715  66
T 5  815 7293 6  35
T 5  -10 561 33  68
T 5  2 39 15  36
T 5  2 429 105  37
ROW -3 0 14
T 1  -675 4 7  94
T 2  255 2 1  95
T 2  150 1 7  96
T 3  -2185 858 30  98
T 3  -765 13 1  99
T 3  -450 11 7  100
T 4  -2205 2431 33  102
T 4  4370 7293 30  104
T 4  102 13 1  105
T 4  600 143 7  106
T 5  210 2431 33  108
T 5  -230 7293 30  110
T 5  -4 13 1  111
T 5  -20 143 7  112
ROW -3 1 19
T 1  45 8 105  113
T 2  -85 4 15  114
T 2  -5 1 105  115
T 3  95 66 33  82
T 3  15485 1716 6  116
T 3  255 26 15  117
T 3  15 11 105  118
T 4  -441 2431 715  85
T 4  441 4862 770  120
T 4  -190 561 33  87
T 4  -15485 7293 6  121
T 4  -17 13 15  122
T 4  -20 143 105  123
T 5  42 2431 715  90
T 5  -21 2431 770  125
T 5  10 561 33  92
T 5  815 7293 6  126
T 5  2 39 15  127
T 5  2 429 105  128
ROW -3 2 25
T 0  -1365 16 14  129
T 1  405 8 21  130
T 1  1365 8 14  131
T 2  -255 2 1  71
T 2  -45 1 21  133
T 2  -195 2 14  134
T 3  5035 1716 66  72
T 3  -2375 132 2  135
T 3  765 13 1  73
T 3  135 11 21  137
T 3  65 3 14  138
T 4  -441 2431 1001  74
T 4  -441 2431 70  140
T 4  -5035 7293 66  75
T 4  2375 561 2  141
T 4  -102 13 1  76
T 4  -180 143 21  143
T 4  -65 33 14  144
T 5  42 2431 1001  77
T 5  42 2431 70  146
T 5  265 7293 66  78
T 5  -125 561 2  147
T 5  4 13 1  79
T 5  6 143 21  149
T 5  2 33 14  150
ROW -3 3 5
T 3  475 1716 6006  81
T 4  -441 4862 4290  84
T 4  -475 7293 6006  86
T 5  21 2431 4290  89
T 5  25 7293 6006  91
ROW -3 4 25
T 0  -1365 32 2  129
T 1  -315 2 3  130
T 1  1365 16 2  131
T 2  -85 4 30  132
T 2  140 1 3  133
T 2  -195 4 2  134
T 3  -665 858 858  97
T 3  -1330 429 14  135
T 3  255 26 30  136
T 3  -420 11 3  137
T 3  65 6 2  138
T 4  -441 2431 715  101
T 4  -441 4862 10  140
T 4  1330 7293 858  103
T 4  5320 7293 14  141
T 4  -17 13 30  142
T 4  560 143 3  143
T 4  -65 66 2  144
T 5  42 2431 715  107
T 5  21 2431 10  146
T 5  -70 7293 858  109
T 5  -280 7293 14  147
T 5  2 39 30  148
T 5  -56 429 3  149
T 5  1 33 2  150
ROW -2 -4 19
T 1  -315 4 5  22
T 2  -85 4 35  23
T 2  70 1 5  24
T 3  -665 143 14  25
T 3  95 143 2002  59
T 3  255 26 35  26
T 3  -210 11 5  27
T 4  -147 4862 330  28
T 4  441 4862 1430  62
T 4  2660 2431 14  30
T 4  -380 2431 2002  64
T 4  -17 13 35  31
T 4  280 143 5  32
T 5  7 2431 330  33
T 5  -21 2431 1430  67
T 5  -140 2431 14  35
T 5  20 2431 2002  69
T 5  2 39 35  36
T 5  -28 429 5  37
ROW -2 -3 29
T 0  1365 32 6  0
T 1  2205 8 1  1
T 1  -1365 16 6  2
T 2  -85 8 10  3
T 2  -85 4 21  171
T 2  -245 1 1  4
T 2  195 4 6  5
T 3  -3325 858 42  6
T 3  -95 286 154  172
T 3  255 52 10  7
T 3  255 26 21  173
T 3  735 11 1  8
T 3  -65 6 6  9
T 4  -588 2431 30  10
T 4  588 2431 429  174
T 4  6650 7293 42  12
T 4  190 2431 154  175
T 4  -17 26 10  13
T 4  -17 13 21  176
T 4  -980 143 1  14
T 4  65 66 6  15
T 5  56 2431 30  16
T 5  -56 2431 429  177
T 5  -350 7293 42  18
T 5  -10 2431 154  178
T 5  1 39 10  19
T 5  2 39 21  179
T 5  98 429 1  20
T 5  -1 33 6  21
ROW -2 -2 29
T 0  -1365 16 21  151
T 1  45 4 21  152
T 1  1365 8 21  153
T 2  85 4 21  154
T 2  85 4 15  57
T 2  -10 1 21  155
T 2  -195 2 21  156
T 3  -3040 429 21  157
T 3  -950 143 11  58
T 3  -255 26 21  158
T 3  -255 26 15  60
T 3  30 11 21  159
T 3  65 3 21  160
T 4  -1764 2431 21  161
T 4  294 2431 2145  61
T 4  12160 7293 21  162
T 4  3800 2431 11  63
T 4  17 13 21  163
T 4  17 13 15  65
T 4  -40 143 21  164
T 4  -65 33 21  165
T 5  168 2431 21  166
T 5  -28 2431 2145  66
T 5  -640 7293 21  167
T 5  -200 2431 11  68
T 5  -2 39 21  168
T 5  -2 39 15  70
T 5  4 429 21  169
T 5  2 33 21  170
ROW -2 -1 34
T 0  -1365 32 42  0
T 1  90 1 7  1
T 1  -225 8 105  38
T 1  1365 16 42  2
T 2  -85 8 70  3
T 2  85 4 15  39
T 2  -80 1 7  4
T 2  25 1 105  40
T 2  -195 4 42  5
T 3  3895 858 6  6
T 3  -4085 286 2  41
T 3  255 52 70  7
T 3  -255 26 15  43
T 3  240 11 7  8
T 3  -75 11 105  44
T 3  65 6 42  9
T 4  588 2431 210  10
T 4  1764 2431 55  45
T 4  -7790 7293 6  12
T 4  8170 2431 2  47
T 4  -17 26 70  13
T 4  17 13 15  49
T 4  -320 143 7  14
T 4  100 143 105  50
T 4  -65 66 42  15
T 5  -56 2431 210  16
T 5  -168 2431 55  51
T 5  410 7293 6  18
T 5  -430 2431 2  53
T 5  1 39 70  19
T 5  -2 39 15  55
T 5  32 429 7  20
T 5  -10 429 105  56
T 5  1 33 42  21
ROW -2 0 14
T 1  -225 4 7  113
T 2  85 4 1  114
T 2  50 1 7  115
T 3  380 143 10  116
T 3  -255 26 1  117
T 3  -150 11 7  118
T 4  -735 2431 462  120
T 4  -1520 2431 10  121
T 4  17 13 1  122
T 4  200 143 7  123
T 5  70 2431 462  125
T 5  80 2431 10  126
