FORMAT 2
KERNEL J
SOURCE (s|J|s)^(m)
SHELLS 4 6
ORDERS 6 10

# E <id> <alpha> <beta> <mu> <p>
T 4  -1 187 77  113  10
T 4  -2 143 30  94  10
T 4  5 858 2  95  10
ROW -4 -1 16
T 1  -15 8 42  11  7
T 2  -105 44 14  29  8
T 2  -5 44 2310  30  8
T 2  45 44 42  31  8
T 3  -21 143 77  62  9
T 3  -2 143 15015  63  9
T 3  7 11 14  64  9
T 3  1 33 2310  65  9
T 3  -45 286 42  66  9
T 4  -21 8398 286  114  10
T 4  -21 8398 1430  115  10
T 4  42 2717 77  116  10
T 4  4 2717 15015  117  10
T 4  -7 187 14  118  10
T 4  -1 561 2310  119  10
T 4  1 143 42  120  10
ROW -4 0 10
T 1  15 2 1  12  7
T 2  105 22 5  32  8
T 2  -45 11 1  33  8
T 3  42 143 55  67  9
T 3  -14 11 5  68  9
T 3  90 143 1  69  9
T 4  7 4199 3003  121  10
T 4  -84 2717 55  122  10
T 4  14 187 5  123  10
T 4  -4 143 1  124  10
ROW -4 1 16
T 1  -15 8 42  13  7
T 2  5 44 2310  34  8
T 2  -105 44 14  35  8
T 2  45 44 42  36  8
T 3  2 143 15015  70  9
T 3  -21 143 77  71  9
T 3  -1 33 2310  72  9
T 3  7 11 14  73  9
T 3  -45 286 42  74  9
T 4  21 8398 1430  125  10
T 4  -21 8398 286  126  10
T 4  -4 2717 15015  127  10
T 4  42 2717 77  128  10
T 4  1 561 2310  129  10
T 4  -7 187 14  130  10
T 4  1 143 42  131  10
ROW -4 2 21
T 0  105 32 2  3  6
T 1  15 4 30  14  7
T 1  -15 4 2  15  7
T 2  15 44 77  37  8
T 2  35 22 35  38  8
T 2  -45 22 30  39  8
T 2  5 4 2  40  8
T 3  21 143 143  75  9
T 3  14 143 105  76  9
T 3  -1 11 77  77  9
T 3  -14 33 35  78  9
T 3  45 143 30  79  9
T 3  -5 33 2  80  9
T 4  21 4199 715  132  10
T 4  21 8398 110  133  10
T 4  -42 2717 143  134  10
T 4  -28 2717 105  135  10
T 4  1 187 77  136  10
T 4  14 561 35  137  10
T 4  -2 143 30  138  10
T 4  5 858 2  139  10
ROW -4 3 18
T 0  -315 32 2  4  6
T 1  -15 2 15  16  7
T 1  45 4 2  17  7
T 2  -105 44 14  41  8
T 2  45 11 15  42  8
T 2  -15 4 2  43  8
T 3  7 286 4290  81  9
T 3  -42 143 6  82  9
T 3  7 11 14  83  9
T 3  -90 143 15  84  9
T 3  5 11 2  85  9
T 4  7 4199 12155  140  10
T 4  -7 8398 330  141  10
T 4  -7 2717 4290  142  10
T 4  84 2717 6  143  10
T 4  -7 187 14  144  10
T 4  4 143 15  145  10
T 4  -5 286 2  146  10
ROW -4 4 3
T 3  14 143 143  86  9
T 4  21 4199 2431  147  10
T 4  -28 2717 143  148  10
ROW -4 5 16
T 0  -105 32 330  4  6
T 1  -45 4 11  16  7
T 1  15 4 330  17  7
T 2  -5 44 2310  41  8
T 2  135 22 11  42  8
T 2  -5 4 330  43  8
T 3  -7 286 110  82  9
T 3  1 33 2310  83  9
T 3  -135 143 11  84  9
T 3  5 33 330  85  9
T 4  21 4199 4199  149  10
T 4  -21 8398 2  141  10
T 4  7 2717 110  143  10
T 4  -1 561 2310  144  10
T 4  6 143 11  145  10
T 4  -5 858 330  146  10
ROW -4 6 16
T 0  -315 32 110  3  6
T 1  -15 4 66  14  7
T 1  45 4 110  15  7
T 2  -15 44 77  38  8
T 2  45 22 66  39  8
T 2  -15 4 110  40  8
T 3  -1 143 231  76  9
T 3  1 11 77  78  9
T 3  -45 143 66  79  9
T 3  5 11 110  80  9
T 4  7 4199 62985  150  10
T 4  -7 8398 2  133  10
T 4  2 2717 231  135  10
T 4  -1 187 77  137  10
T 4  2 143 66  138  10
T 4  -5 286 110  139  10
ROW -3 -6 11
T 1  -15 8 462  11  7
T 2  -45 88 154  29  8
T 2  45 44 462  31  8
T 3  -3 26 7  62  9
T 3  3 22 154  64  9
T 3  -45 286 462  66  9
T 4  -7 8398 26  114  10
T 4  -7 4199 25194  97  10
T 4  3 247 7  116  10
T 4  -3 374 154  118  10
T 4  1 143 462  120  10
ROW -3 -5 18
T 0  105 16 165  0  6
T 1  -45 8 11  5  7
T 1  -15 2 165  6  7
T 2  -35 88 462  19  8
T 2  135 44 11  20  8
T 2  5 2 165  21  8
T 3  -29 572 154  46  9
T 3  7 13 13  55  9
T 3  7 66 462  47  9
T 3  -135 286 11  48  9
T 3  -10 33 165  49  9
T 4  -28 4199 3  90  10
T 4  -84 4199 221  103  10
T 4  29 5434 154  92  10
T 4  -14 247 13  105  10
T 4  -7 1122 462  93  10
T 4  3 143 11  94  10
T 4  5 429 165  95  10
ROW -3 -4 18
T 0  105 8 30  1  6
T 1  45 8 1  7  7
T 1  -15 1 30  8  7
T 2  -25 44 210  22  8
T 2  -135 44 1  23  8
T 2  5 1 30  24  8
T 3  -175 572 10  50  9
T 3  49 572 286  59  9
T 3  5 33 210  51  9
T 3  135 286 1  52  9
T 3  -20 33 30  53  9
T 4  -21 4199 22  96  10
T 4  -14 4199 7293  109  10
T 4  175 5434 10  98  10
T 4  -49 5434 286  110  10
T 4  -5 561 210  99  10
T 4  -3 143 1  100  10
T 4  10 429 30  101  10
ROW -3 -3 21
T 0  315 8 3  2  6
T 1  75 4 3  9  7
T 1  -45 1 3  10  7
T 2  -105 22 3  25  8
T 2  45 88 154  28  8
T 2  -225 22 3  26  8
T 2  15 1 3  27  8
T 3  -147 143 3  54  9
T 3  21 572 286  60  9
T 3  14 11 3  56  9
T 3  -3 22 154  61  9
T 3  225 143 3  57  9
T 3  -20 11 3  58  9
T 4  -140 4199 3  102  10
T 4  -28 4199 1430  111  10
T 4  294 2717 3  104  10
T 4  -21 5434 286  112  10
T 4  -14 187 3  106  10
T 4  3 374 154  113  10
T 4  -10 143 3  107  10
T 4  10 143 3  108  10
ROW -3 -2 21
T 0  -105 4 1  1  6
T 1  -45 8 30  7  7
T 1  30 1 1  8  7
T 2  35 44 7  22  8
T 2  35 88 462  30  8
T 2  135 44 30  23  8
T 2  -10 1 1  24  8
T 3  119 143 3  50  9
T 3  -1 286 3003  63  9
T 3  -7 33 7  51  9
T 3  -7 66 462  65  9
T 3  -135 286 30  52  9
T 3  40 33 1  53  9
T 4  21 4199 165  96  10
T 4  -105 8398 286  115  10
T 4  -238 2717 3  98  10
T 4  1 2717 3003  117  10
T 4  7 561 7  99  10
T 4  7 1122 462  119  10
T 4  3 143 30  100  10
T 4  -20 429 1  101  10
ROW -3 -1 25
T 0  105 32 10  0  6
T 1  195 16 6  5  7
T 1  15 8 42  18  7
T 1  -15 4 10  6  7
T 2  35 44 7  19  8
T 2  25 44 210  44  8
T 2  -585 88 6  20  8
T 2  -45 44 42  45  8
T 2  5 4 10  21  8
T 3  -7 22 21  46  9
T 3  -5 286 2310  87  9
T 3  -7 33 7  47  9
T 3  -5 33 210  88  9
T 3  45 44 6  48  9
T 3  45 286 42  89  9
T 3  -5 33 10  49  9
T 4  -84 4199 22  90  10
T 4  -42 4199 286  151  10
T 4  7 209 21  92  10
T 4  5 2717 2310  152  10
T 4  7 561 7  93  10
