FORMAT 1
KERNEL S
SOURCE (s|S|s)
SHELLS 5 6

# E <id> <alpha> <beta> <mu> <p>
T 4  -1050 46189 14  17
T 4  5 221 30  18
T 4  -7 143 3  19
T 4  3 286 2  20
T 5  -945 64 2  21
ROW -5 -3 18
T 0  945 16 1  47
T 1  75 4 7  48
T 1  -105 2 1  49
T 2  315 286 70  50
T 2  -225 26 7  51
T 2  315 22 1  52
T 3  315 4862 66  53
T 3  105 4862 7293  54
T 3  -630 2431 70  55
T 3  15 13 7  56
T 3  -210 143 1  57
T 4  3 4199 143  58
T 4  3 4199 46189  59
T 4  -15 2431 66  60
T 4  -5 2431 7293  61
T 4  630 46189 70  62
T 4  -10 221 7  63
T 4  7 143 1  64
ROW -5 -2 21
T 0  -315 32 6  65
T 1  -25 4 42  66
T 1  35 4 6  67
T 2  -525 286 35  68
T 2  105 572 715  69
T 2  75 26 42  70
T 2  -105 44 6  71
T 3  -315 4862 154  72
T 3  315 4862 858  73
T 3  1050 2431 35  74
T 3  -105 2431 715  75
T 3  -5 13 42  76
T 3  35 143 6  77
T 4  -3 8398 2002  78
T 4  9 4199 2431  79
T 4  15 2431 154  80
T 4  -15 2431 858  81
T 4  -1050 46189 35  82
T 4  105 46189 715  83
T 4  10 663 42  84
T 4  -7 858 6  85
ROW -5 -1 16
T 1  15 8 210  86
T 2  525 572 154  87
T 2  75 286 1001  88
T 2  -45 52 210  89
T 3  63 9724 30030  90
T 3  315 4862 715  91
T 3  -525 2431 154  92
T 3  -150 2431 1001  93
T 3  3 26 210  94
T 4  3 8398 6006  95
T 4  6 4199 2431  96
T 4  -3 4862 30030  97
T 4  -15 2431 715  98
T 4  525 46189 154  99
T 4  150 46189 1001  100
T 4  -1 221 210  101
ROW -5 0 10
T 1  -75 4 1  102
T 2  -525 286 66  103
T 2  225 26 1  104
T 3  -315 4862 1001  105
T 3  1050 2431 66  106
T 3  -15 13 1  107
T 4  -6 4199 2002  108
T 4  15 2431 1001  109
T 4  -1050 46189 66  110
T 4  10 221 1  111
ROW -5 1 16
T 1  15 8 210  112
T 2  -75 286 1001  113
T 2  525 572 154  114
T 2  -45 52 210  115
T 3  -315 4862 715  116
T 3  63 9724 30030  117
T 3  150 2431 1001  118
T 3  -525 2431 154  119
T 3  3 26 210  120
T 4  -6 4199 2431  121
T 4  3 8398 6006  122
T 4  15 2431 715  123
T 4  -3 4862 30030  124
T 4  -150 46189 1001  125
T 4  525 46189 154  126
T 4  -1 221 210  127
ROW -5 2 21
T 0  -315 32 6  128
T 1  -25 4 42  129
T 1  35 4 6  130
T 2  -105 572 715  131
T 2  -525 286 35  132
T 2  75 26 42  133
T 2  -105 44 6  134
T 3  -315 4862 858  135
T 3  -315 4862 154  136
T 3  105 2431 715  137
T 3  1050 2431 35  138
T 3  -5 13 42  139
T 3  35 143 6  140
T 4  -9 4199 2431  141
T 4  -3 8398 2002  142
T 4  15 2431 858  143
T 4  15 2431 154  144
T 4  -105 46189 715  145
T 4  -1050 46189 35  146
T 4  10 663 42  147
T 4  -7 858 6  148
ROW -5 3 18
T 0  945 16 1  149
T 1  75 4 7  150
T 1  -105 2 1  151
T 2  315 286 70  152
T 2  -225 26 7  153
T 2  315 22 1  154
T 3  -105 4862 7293  155
T 3  315 4862 66  156
T 3  -630 2431 70  157
T 3  15 13 7  158
T 3  -210 143 1  159
T 4  -3 4199 46189  160
T 4  3 4199 143  161
T 4  5 2431 7293  162
T 4  -15 2431 66  163
T 4  630 46189 70  164
T 4  -10 221 7  165
T 4  7 143 1  166
ROW -5 4 24
T 0  -945 16 3  167
T 0  945 32 2  168
T 1  -75 8 30  169
T 1  105 2 3  170
T 1  -135 8 2  171
T 2  -525 286 14  172
T 2  225 52 30  173
T 2  -315 22 3  174
T 2  15 4 2  175
T 3  -63 4862 12155  176
T 3  -945 9724 10  177
T 3  1050 2431 14  178
T 3  -15 26 30  179
T 3  210 143 3  180
T 3  -15 44 2  181
T 4  -3 4199 92378  182
T 4  -3 4199 33  183
T 4  3 2431 12155  184
T 4  45 4862 10  185
T 4  -1050 46189 14  186
T 4  5 221 30  187
T 4  -7 143 3  188
T 4  3 286 2  189
T 5  -945 64 2  190
ROW -5 5 1
T 4  -3 4199 176358  191
ROW -5 6 22
T 0  -945 32 22  167
T 0  945 16 33  168
T 1  -15 4 55  169
T 1  105 4 22  170
T 1  -135 4 33  171
T 2  -75 572 231  172
T 2  45 26 55  173
T 2  -315 44 22  174
T 2  15 2 33  175
T 3  -21 4862 165  177
T 3  75 2431 231  178
T 3  -3 13 55  179
T 3  105 143 22  180
T 3  -15 22 33  181
T 4  -3 4199 323323  192
T 4  -3 8398 2  183
T 4  1 2431 165  185
T 4  -75 46189 231  186
T 4  2 221 55  187
T 4  -7 286 22  188
T 4  3 143 33  189
T 5  -945 32 33  190
ROW -4 -6 16
T 0  -945 32 22  47
T 1  -15 4 154  48
T 1  105 4 22  49
T 2  -135 572 385  50
T 2  45 26 154  51
T 2  -315 44 22  52
T 3  -21 221 3  53
T 3  135 2431 385  55
T 3  -3 13 154  56
T 3  105 143 22  57
T 4  -3 8398 26  58
T 4  3 4199 146965  37
T 4  2 221 3  60
T 4  -135 46189 385  62
T 4  2 221 154  63
T 4  -7 286 22  64
ROW -4 -5 19
T 0  -945 32 110  1
T 1  -45 8 66  2
T 1  135 8 110  4
T 2  -15 52 770  5
T 2  135 52 66  6
T 2  -15 4 110  8
T 3  -63 748 22  9
T 3  -63 442 221  44
T 3  15 221 770  10
T 3  -9 26 66  11
T 3  15 44 110  13
T 4  -6 4199 15  14
T 4  6 4199 41990  45
T 4  3 374 22  16
T 4  3 221 221  46
T 4  -15 4199 770  17
T 4  3 221 66  18
T 4  -3 286 110  20
T 5  945 64 110  21
ROW -4 -4 24
T 0  945 16 5  22
T 0  -945 8 5  23
T 1  -15 1 5  24
